Day,banner,native,video,Total_Revenue
8/12/2019,754.8750316,327.16788,13480.42987,14562.47278
8/13/2019,739.7326271,303.7686004,13742.74152,14786.24275
8/14/2019,715.4583617,259.0134876,14275.58643,15250.05828
8/15/2019,681.0683044,194.7894476,13426.72916,14302.58692
8/16/2019,692.0906038,167.3765206,13576.67496,14436.14208
8/17/2019,1014.94215,460.9773472,19780.0162,21255.9357
8/18/2019,1044.763144,487.5673964,19737.24163,21269.57217
8/19/2019,866.1137042,383.5299068,16598.129,17847.77261
8/20/2019,644.6724908,135.0665606,12710.22409,13489.96314
8/21/2019,636.4035656,137.0488534,12280.51434,13053.96676
