,Impressions,Impressions,Impressions,Revenue,Revenue,Revenue
App,IMVU Android,IMVU Videowall,IMVU iOS,IMVU Android,IMVU Videowall,IMVU iOS
Day,,,,,,
8/12/2019,22682252,,17992296,6961.684977,,7600.787806
8/13/2019,23084646,,17127922,7442.564121,,7343.678628
8/14/2019,21157741,,17148847,7962.907004,,7287.151278
8/15/2019,20252921,,16595633,6946.809392,,7355.777525
8/16/2019,20563997,,16370251,7446.8906,,6989.251481
8/17/2019,22820683,,18050485,10172.30671,,11083.62899
8/18/2019,23717893,,18601608,10261.79499,,11007.77718
8/19/2019,20983253,,16055756,8968.883527,,8878.889084
8/20/2019,19808611,0,15505833,6725.154477,0,6764.808661
8/21/2019,18942790,,15059777,6407.046695,,6646.920061
